150.000 2.6000e+01
350.854 2.2551e+01
350.935 2.2205e+01
351.016 2.2199e+01
351.097 2.2123e+01
351.178 2.2327e+01
351.259 2.2254e+01
351.339 2.2053e+01
351.421 2.2431e+01
351.501 2.2034e+01
351.582 2.2902e+01
351.663 2.2709e+01
351.744 2.2985e+01
351.826 2.2637e+01
351.906 2.2720e+01
351.987 2.2917e+01
352.068 2.2540e+01
352.149 2.2385e+01
352.231 2.2686e+01
352.312 2.2891e+01
352.393 2.2620e+01
352.474 2.3684e+01
352.555 2.3030e+01
352.636 2.2836e+01
352.718 2.2353e+01
352.799 2.2222e+01
352.88 2.2367e+01
352.961 2.2226e+01
353.042 2.2831e+01
353.124 2.2468e+01
353.205 2.2485e+01
353.287 2.2370e+01
353.368 2.2608e+01
353.449 2.2681e+01
353.531 2.2264e+01
353.612 2.2274e+01
353.693 2.2431e+01
353.775 2.1967e+01
353.857 2.2472e+01
353.938 2.3434e+01
354.019 2.2650e+01
354.101 2.2127e+01
354.182 2.2297e+01
354.264 2.2403e+01
354.346 2.2889e+01
354.427 2.3358e+01
354.509 2.2340e+01
354.591 2.2271e+01
354.672 2.2485e+01
354.754 2.2576e+01
354.836 2.2677e+01
354.917 2.2374e+01
354.999 2.2412e+01
355.081 2.2063e+01
355.162 2.2255e+01
355.244 2.2328e+01
355.326 2.1847e+01
355.408 2.3875e+01
355.489 2.2181e+01
355.572 2.2342e+01
355.653 2.2527e+01
355.735 2.2222e+01
355.817 2.2297e+01
355.899 2.2308e+01
355.981 2.2184e+01
356.063 2.2194e+01
356.145 2.2227e+01
356.227 2.2618e+01
356.309 2.1916e+01
356.391 2.2265e+01
356.473 2.2650e+01
356.556 2.2411e+01
356.637 2.2683e+01
356.719 2.2869e+01
356.802 2.2534e+01
356.884 2.2582e+01
356.966 2.2579e+01
357.048 2.1997e+01
357.131 2.2764e+01
357.213 2.2497e+01
357.295 2.2541e+01
357.377 2.2657e+01
357.459 2.2507e+01
357.542 2.2455e+01
357.624 2.2412e+01
357.707 2.2348e+01
357.789 2.2634e+01
357.872 2.2580e+01
357.954 2.2296e+01
358.036 2.2649e+01
358.119 2.2069e+01
358.201 2.2183e+01
358.284 2.2462e+01
358.366 2.2313e+01
358.449 2.2418e+01
358.531 2.2728e+01
358.614 2.2359e+01
358.696 2.2592e+01
358.779 2.2628e+01
358.862 2.2350e+01
358.944 2.2648e+01
359.027 2.2628e+01
359.109 2.2670e+01
359.192 2.2550e+01
359.275 2.2425e+01
359.358 2.2703e+01
359.441 2.2295e+01
359.523 2.2281e+01
359.606 2.2030e+01
359.689 2.2172e+01
359.772 2.3308e+01
359.854 2.2836e+01
359.937 2.2127e+01
360.021 2.2043e+01
360.103 2.1984e+01
360.186 2.1917e+01
360.269 2.2458e+01
360.352 2.1994e+01
360.435 2.2088e+01
360.518 2.2151e+01
360.601 2.2935e+01
360.684 2.2493e+01
360.767 2.2250e+01
360.85 2.2271e+01
360.933 2.2123e+01
361.017 2.2348e+01
361.099 2.2581e+01
361.183 2.2429e+01
361.266 2.2641e+01
